Província,Destinos Turísticos,Turistas 2023,Turistas 2024,Receitas (USD),Receitas (AOA),Turistas_Simulados_2025
Luanda,"Ilha do Mussulo, Fortaleza de São Miguel, Miradouro da Lua",125000,137000,72500000,60175000000,143850
Benguela,"Praia Morena, Baía Azul, Lobito",89000,97000,45000000,37350000000,101850
Huíla,"Serra da Leba, Tundavala, Cristo Rei",65000,73000,36000000,29880000000,81395
Namibe,"Deserto do Namibe, Arco do Carvalhão, Lagoa do Arco",52000,61000,27500000,22825000000,68015
Malanje,"Quedas de Kalandula, Pungo Andongo, Parque de Cangandala",41000,49000,21000000,17430000000,54635
Cabinda,"Floresta do Maiombe, Praia do Caio, Tchizo",37000,45000,18000000,14940000000,50175
Huambo,"Chiumbo, Cascata do Kuando, Morro do Moco",48000,52000,20000000,16600000000,57980
Bié,"Rochas do Tchivinguiro, Chinguar, Cuito",39000,43000,17000000,14110000000,47945
Cuanza Sul,"Praia da Caotinha, Serra da Chela, Rio Longa",42000,47000,18500000,15355000000,52405
Cuanza Norte,"Pedras de Ndalatando, Fazenda Cabuta, Rio Dange",35000,38000,15000000,12450000000,42370
Uíge,"Quibaxe, Parque de Kibala, Serra do Pingano",31000,34000,13500000,11205000000,37910
Zaire,"Soyo, Mbanza Kongo, Catedral de São Salvador",29000,32000,12500000,10375000000,35680
Cuando Cubango,"Rios Cubango e Cuito, Menongue, Cuanavale",26000,29000,11000000,9130000000,32335
Cunene,"Ondjiva, Rio Cunene, Ombala yo Mungo",25000,27000,10000000,8300000000,36450
Moxico,"Luena, Lumeje, Lago Dilolo",23000,25000,9500000,7885000000,33750
Lunda Sul,"Saurimo, Dala, Lóvua",21000,23000,9000000,7470000000,31050
Lunda Norte,"Dundo, Luachimo, Museu Regional do Dundo",20000,22000,8500000,7055000000,29700
Bengo,"Ambriz, Barra do Dande, Caxito",18000,20000,8000000,6640000000,27000
